Image,PSNR_Bicubic,SSIM_Bicubic,PSNR_DnCNN,SSIM_DnCNN,PSNR_DnCNN_SwinIR,SSIM_DnCNN_SwinIR
Canon_192_LR4.png,27.06086660718263,0.8062722086906433,25.007270249790853,0.7896180152893066,25.524247955737035,0.7987851500511169
Canon_148_LR4.png,24.970140508360608,0.6485280394554138,22.05831565223167,0.543526828289032,22.445156927904833,0.5594427585601807
Canon_128_LR4.png,23.236467936160047,0.6784679889678955,21.84881177040429,0.6243998408317566,22.590592722856204,0.6579098105430603
Canon_021_LR4.png,23.07729020541334,0.6156291365623474,21.83223262937902,0.5387004017829895,22.485839819315462,0.5648636817932129
Canon_036_LR4.png,23.305694520723122,0.6625505685806274,21.577023709767523,0.6046907901763916,22.164639137087747,0.6186382174491882
Canon_138_LR4.png,24.633471430041798,0.6180197596549988,22.58289820516297,0.5413163304328918,22.847263397116883,0.5446987748146057
Canon_119_LR4.png,25.503761001868757,0.6137945652008057,23.440900223752493,0.5101433396339417,23.96062016219275,0.5217210650444031
Canon_131_LR4.png,27.07739448253487,0.7579104900360107,25.270952235776328,0.7133272290229797,25.619839613521055,0.7209222316741943
Canon_006_LR4.png,27.06879196608465,0.7628970146179199,24.951848445637932,0.711653470993042,25.93807454737531,0.7356492877006531
Canon_167_LR4.png,27.55046222987609,0.7935447096824646,25.23844494603953,0.740122377872467,26.003235083887347,0.754371166229248
Average,25.348434088824593,0.6957614421844482,23.38086980679426,0.6317498683929443,23.957950936699465,0.6477001905441284
